operated_at,geohash,avg_lightlux,latitude,longitude,si,gungu,dong,weight
2024-06-29 05:00:00,wy7uxbmm,40.5,35.95,129.371,경상북도,포항시 남구,대송면,0.0026259369442736295
2024-06-05 00:00:00,wykh8bbg,39.2,35.952,129.409,경상북도,포항시 남구,오천읍,0.0025395137030696873
2024-06-15 20:00:00,wykh83j8,41.5,35.953,129.394,경상북도,포항시 남구,오천읍,0.002692416360584354
2024-06-27 20:00:00,wykh89u6,40.0,35.957,129.403,경상북도,포항시 남구,오천읍,0.002592697236118267
2024-06-02 22:00:00,wykh89ur,40.0,35.958,129.403,경상북도,포항시 남구,오천읍,0.002592697236118267
2024-06-24 20:00:00,wykh8dh3,40.25,35.959,129.403,경상북도,포항시 남구,오천읍,0.0026093170901959483
2024-06-21 22:00:00,wykh8dkk,41.375,35.96,129.403,경상북도,포항시 남구,오천읍,0.0026841064335455136
2024-06-21 23:00:00,wykh8ds3,41.0,35.961,129.403,경상북도,포항시 남구,오천읍,0.0026591766524289915
2024-06-15 21:00:00,wykh8dsm,41.27777777777778,35.962,129.403,경상북도,포항시 남구,오천읍,0.0026776431569597485
2024-06-27 22:00:00,wykh8f8e,39.5,35.962,129.409,경상북도,포항시 남구,오천읍,0.0025594575279629045
2024-06-05 20:00:00,wykh8f9e,40.0,35.962,129.41,경상북도,포항시 남구,오천읍,0.002592697236118267
2024-06-19 20:00:00,wykh8eh7,39.67390350877193,35.964,129.403,경상북도,포항시 남구,오천읍,0.0025710185317204494
2024-06-27 21:00:00,wykh8ehm,41.77777777777778,35.965,129.403,경상북도,포항시 남구,오천읍,0.002710882865115111
2024-06-07 21:00:00,wykh8g0k,41.0,35.965,129.408,경상북도,포항시 남구,오천읍,0.0026591766524289915
2024-06-07 20:00:00,wykh8ghy,40.0,35.965,129.415,경상북도,포항시 남구,오천읍,0.002592697236118267
2024-06-24 20:00:00,wykh872d,40.75,35.966,129.387,경상북도,포항시 남구,대송면,0.0026425567983513103
2024-06-02 22:00:00,wykh8ek7,41.0,35.966,129.403,경상북도,포항시 남구,오천읍,0.0026591766524289915
